FirstReading,Psalm,SecondReading,Acclamation,Gospel,Date,Day
Numbers 6:22-27,"Psalms 67:2-3, 5, 6, 8.",Galatians 4:4-7,Hebrews 1:1-2,Luke 2:16-21,2018-01-01,The Octave Day of Christmas
1 John 2:22-28,"Psalms 98:1, 2-3, 3-4",,Hebrews 1:1-2,John 1:19-28,2018-01-02,"Memorial of Saints Basil the Great and Gregory Nazianzen, BishoPsalms and Doctors of the Church"
1 John 2:29--3:6,"Psalms 98:1, 3-4, 5-6",,"John 1:14, 12",John 1:29-34,2018-01-03,3-Jan-18
1 John 3:7-10,"Psalms 98:1, 7-8, 9",,Hebrews 1:1-2,John 1:35-42,2018-01-04,"Memorial of Saint Elizabeth Ann Seton, Religious"
1 John 3:11-21,"Psalms 100:1-2, 3, 4, 5",,,John 1:43-51,2018-01-05,"Memorial of Saint John Neumann, Bishop"
1 John 5:5-13,"Psalms 147:12-13, 14-15, 19-20",,Mark 9:6,Mark 1:7-11,2018-01-06,Christmas Weekday
"Ephesians 3:2-3, 5-6"," Psalms 72:1-2, 7-8, 10-11, 12-13",,Matthew 2:2,Matthew 2:1-12,2018-01-07,The Epiphany of the Lord
"Isaiah 42:1-4, 6-7","Psalms 29:1-2, 3-4, 3, 9-10",,John 1:29,Mark 1:7-11,2018-01-08,The Baptism of the Lord
1 Samuel 1:9-20,"1 Samuel 2:1, 4-5, 6-7, 8",,1 Thessalonians 2:13,Mark 1:21-28,2018-01-09,Lectionary: 306
"1 Samuel 3:1-10, 19-20","Psalms 40:2, 5, 7-8, 8-9, 10",,, Mark 1:29-39,2018-01-10,Wednesday of the First Week in Ordinary Time
1 Samuel 4:1-11,"Psalms 44:10-11, 14-15, 24-25",,Matthew 4:23,Mark 1:40-45,2018-01-11,Thursday of the First Week in Ordinary Time
"1 Samuel 8:4-7, 10-22","Psalms 89:16-17, 18-19",,Luke 7:16,Mark 2:1-12,2018-01-12,Friday of the First Week in Ordinary Time
"1 Samuel 9:1-4, 17-19; 10:1","Psalms 21:2-3, 4-5, 6-7",,Luke 4:18,Mark 2:13-17,2018-01-13,Saturday of the First Week in Ordinary Time
"1 Samuel 3:3-10, 19","Psalms 40:2, 4, 7-8, 8-9, 10 ",,"John 1:41, 17",John 1:35-42,2018-01-14,Second Sunday of Ordinary Time
1 Samuel 15:16-23,"Psalms 50:8-9, 16-17, 21, 23",,Hebrews 4:12,Mark 2:18-22,2018-01-15,Monday of the Second Week in Ordinary Time
1 Samuel 16:1-13,"Psalms 89:20, 21-22, 27-28",,Ephesians 1:17-18,Mark 2:23-28,2018-01-16,Tuesday of the Second Week in Ordinary Time
"1 Samuel 17:32-33, 37, 40-51","Psalms 144:1, 2, 9-10",,Matthew 4:23,Mark 3:1-6,2018-01-17,"Memorial of Saint Anthony, Abbot"
1 Samuel 18:6-9; 19:1-7,"Psalms 56:2-3, 9-10, 10-11, 12-13",,2 Timothy 1:10,Mark 3:7-12,2018-01-18,Thursday of the Second Week in Ordinary Time
1 Samuel 24:3-21,"Psalms 57:2, 3-4, 6, 11",,2 Corinthians 5:19,Mark 3:13-19,2018-01-19,Friday of the Second Week in Ordinary Time
"2 Samuel 1:1-4, 11-12, 19, 23-27","Psalms 80:2-3, 5-7",,Acts 16:14,Mark 3:20-21,2018-01-20,Saturday of the Second Week in Ordinary Time
1 Corinthians 7:29-31,"Psalms 25:4-5, 6-7, 8-9",,Mark 1:15,Mark 1:14-20,2018-01-21,Third Sunday in Ordinary Time 
"2 Samuel 5:1-7, 10","Psalms 89:20, 21-22, 25-26",,2 Timothy 1:10,Mark 3:22-30,2018-01-22,Day of Prayer for the Legal Protection of Unborn Children
"2 Samuel 6:12-15, 17-19","Psalms 24:7, 8, 9, 10",,Matthew 11:25 ,Mark 3:31-35,2018-01-23,Tuesday of the Third Week in Ordinary Time
2 Samuel 7:4-17,"Psalms 89:4-5, 27-28, 29-30",,,Mark 4:1-20,2018-01-24,"Memorial of Saint Francis de Sales, Bishop and Doctor of the Church"
Acts 22:3-16,"Psalms 117:1, 2",,John 15:16,Mark 16:15-18,2018-01-25,"Feast of the Conversion of Saint Paul, Apostle "
2 Timothy 1:1-8,"Psalms 96:1-2, 2-3, 7-8, 10",,Matthew 11:25,mk 4:26-34,2018-01-26,"Memorial of Saints Timothy and Titus, bishops"
"2 Samuel 12:1-7, 10-17","Psalms 51:12-13, 14-15, 16-17",,John 3:16,Mark 4:35-41,2018-01-27,Saturday of the Third Week in Ordinary Time
Deuteronomy 18:15-20,"Psalms 95:1-2, 6-7, 7-9",1 Corinthians 7:32-35,Matthew 4:16,Mark 1:21-28,2018-01-28,Fourth Sunday in Ordinary Time
"2 Samuel 15:13-14, 30; 16:5-13","Psalms 3:2-3, 4-5, 6-7",,Luke 7:16,Mark 5:1-20,2018-01-29,Monday of the Fourth Week in Ordinary Time
"2 Samuel18:9-10, 14, 24-25, 30--19:3","Psalms 86:1-2, 3-4, 5-6",,Matthew 8:17,Mark 5:21-43,2018-01-30,Tuesday of the Fourth Week in Ordinary Time
"2 Samuel 24:2, 9-17","Psalms 32:1-2, 5, 6, 7",,John 10:27,Mark 6:1-6 ,2018-01-31,"Memorial of Saint John Bosco, Priest"
