Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
Hebrews 1:1-2,Numbers 6:22-27,"Psalms 67:2-3, 5-6, 8",Galatians 4:4-7,2017-01-01,Luke 2:16-21,"Octave Day of Christmas:  Solemnity of the Blessed Virgin Mary, the Mother of God"
Hebrews 1:1-2,1 John 2:22-28,Psalms 98:1-4,,2017-01-02,John 1:19-28,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors (Memorial)"
"John 1:14, 12",Philippians 2:5-11,Psalms 113:1-8,,2017-01-03,Matthew 1:18-23,The Most Holy Name of Jesus (Memorial)
Hebrews 1:1-2,1 John 3:7-10,"Psalms 98:1, 7-9",,2017-01-04,John 1:35-42,St. Elizabeth Ann Seton (Memorial)
,1 John 3:11-21,Psalms 100:1-5,,2017-01-05,John 1:43-51,"St. John Neumann, Bishop (Memorial)"
Mark 9:6,1 John 5:5-13,"Psalms 147:12-15, 19-20",,2017-01-06,Mark 1:7-11,"St. Andre Bessette, Religious (Optional Memorial)"
Luke 7:16,1 John 5:14-21,"Psalms 149:1-6, 9",,2017-01-07,John 2:1-11,Saturday before Epiphany
Matthew 2:2,Isaiah 60:1-6,"Psalms 72:1-2, 7-8, 10-13","Ephesians 3:2-3, 5-6",2017-01-08,Matthew 2:1-12,The Epiphany of the Lord (Solemnity)
Mark 9:7,"Isaiah 42:1-4, 6-7","Psalms 29:1-4, 3, 9-10",Acts 10:34-38,2017-01-09,Matthew 3:13-17,The Baptism of the Lord (Feast)
1 Thessalonians 2:13,Hebrews 2:5-12,"Psalms 8:2, 5-9",,2017-01-10,Mark 1:21-28,Weekday
John 10:27,Hebrews 2:14-18,"Psalms 105:1-4, 6-9",,2017-01-11,Mark 1:29-39,Weekday
Matthew 4:23,Hebrews 3:7-14,Psalms 95:6-11,,2017-01-12,Mark 1:40-45,"St. Bernard of Corleone, Religious (Memorial)"
Luke 7:16,"Hebrews 4:1-5, 11","Psalms 78:3, 4, 6-8",,2017-01-13,Mark 2:1-12,Weekday
Luke 4:18,Hebrews 4:12-16,"Psalms 19:8-10, 15",,2017-01-14,Mark 2:13-17,Saturday Memorial of the Blessed Virgin Mary
"John 1:14, 12","Isaiah 49:3, 5-6","Psalms 40:2, 4, 7-10",1 Corinthians 1:1-3,2017-01-15,John 1:29-34,Second Sunday in Ordinary Time
Hebrews 4:12,Hebrews 5:1-10,Psalms 110:1-4,,2017-01-16,Mark 2:18-22,"St. Berard, OFM, Priest and Companions, Protomartyrs (Memorial)"
Ephesians 1:17-18,Hebrews 6:10-20,"Psalms 111:1-2, 4-5, 9-10",,2017-01-17,Mark 2:23-28,"St. Anthony, Abbot (Memorial)"
Matthew 4:23,"Hebrews 7:1-3, 15-17",Psalms 110:1-4,,2017-01-18,Mark 3:1-6,Weekday
2 Timothy 1:10,Hebrews 7:25--8:6,"Psalms 40:7-10, 17",,2017-01-19,Mark 3:7-12,Weekday
,Hebrews 8:6-13,"Psalms 85:8, 10-14",,2017-01-20,Mark 3:13-19,Weekday
Acts 16:14,"Hebrews 9:2-3, 11-14","Psalms 47:2-3, 6-9",,2017-01-21,Mark 3:20-21,"St. Agnes, Virgin, Martyr (Memorial)"
Matthew 4:23,Isaiah 8:23--9:3,"Psalms 27:1, 4, 13-14","1 Corinthians 1:10-13, 17",2017-01-22,Matthew 4:12-23,Third Sunday in Ordinary Time
