Acclamation,SecondReading,Psalm,FirstReading,Date,Gospel,Day
Heb 1:1-2,Gal 4:4-7,"Ps 67:2-3, 5, 6, 8",Nm 6:22-27,1-Jan-17,Lk 2:16-21,"Solemnity of the Blessed Virgin Mary, the Mother of God"
Heb 1:1-2,,"Ps 98:1, 2-3ab, 3cd-4",1 Jn 2:22-28,2-Jan-17,Jn 1:19-28,"Memorial of Saints Basil the Great, Gregory Nazianzen, Bishops, Doctors of the Church"
"Jn 1:14a, 12a",,"Ps 98:1, 3cd-4, 5-6",1 Jn 2:29-3:6,3-Jan-17,Jn 1:29-34,Christmas Weekday
Heb 1:1-2,,"Ps 98:1, 7-8, 9",1 Jn 3:7-10,4-Jan-17,Jn 1:35-42,"Memorial of Saint Elizabeth Ann Seton, Religious"
,,"Ps 100:1b-2, 3, 4, 5",1 Jn 3:11-21,5-Jan-17,Jn 1:43-51,"Memorial of Saint John Neumann, Bishop"
MK 9:6,,"Ps 147:12-13, 14-15, 19-20",1 Jn 5:5-13,6-Jan-17,Mk 1:7-11,"St. Andre Bessette, Religious (Optional Memorial)"
Lk 7:16,,"Ps 149:1-2, 3-4, 5, 6a, 9b",1 Jn 5:14-21,7-Jan-17,Jn 2:1-11,Christmas Weekday
Mt 2:2,"Eph 3:2-3a, 5-6","Ps 72:1-2, 7-8, 10-11, 12-13",Is 60:1-6,8-Jan-17,Mt 2:1-12,The Epiphany of the Lord
Mk 9:7,,"Ps 29:1-2, 3-4, 3, 9-10","Is 42:1-4, 6-7",9-Jan-17,Mt 3:13-17,The Baptism of the Lord
1 Thes 2:13,,"Ps 8:2ab, 5, 6-7, 8-9",Heb 2:5-12,10-Jan-17,Mk 1:21-28,Tuesday of the First Week in Ordinary Time
Jn 10:27,,"Ps 105:1-2, 3-4, 6-7, 8-9",Heb 2:14-18,11-Jan-17,Mk 1:29-39,Wednesday of the First Week in Ordinary Time
Mt 4:23,,"Ps 95:6-7c, 8-9, 10-11",Heb 3:7-14,12-Jan-17,Mk 1:40-45,Thursday of the First Week in Ordinary Time
Lk 7:16,,"Ps 78:3, 4bc, 6c-7, 8","Heb 4:1-5, 11",13-Jan-17,Mk 2:1-12,Friday of the First Week in Ordinary Time
Lk 4:18,,"Ps 19:8, 9, 10, 15",Heb 4:12-16,14-Jan-17,Mk 2:13-17,Saturday of the First Week in Ordinary Time
"Jn 1:14a, 12a",1 Cor 1:1-3,"Ps 40:2, 4, 7-8, 8-9, 10","Is 49:3, 5-6",15-Jan-17,Jn 1:29-34,Second Sunday in Ordinary Time
Heb 4:12,,"Ps 110:1, 2, 3, 4",Heb5:1-10,16-Jan-17,Mk 2:18-22,Monday of the Second Week in Ordinary Time
Eph 1:17-18,,"Ps 111:1-2, 4-5, 9, 10c",Heb 6:10-20,17-Jan-17,Mk 2:23-28,"Memorial of Saint Anthony, Abbot"
Mt 4:23,,"Ps 110:1, 2, 3, 4","Heb 7:1-3, 15-17",18-Jan-17,Mk 3:1-6,Wednesday of the Second Week in Ordinary Time
2 Tm 1:10,,"Ps 40:7-8a, 8b-9, 10, 17",Heb 7:25-8:6,19-Jan-17,Mk 3:7-12,Thursday of the Second Week in Ordinary Time
,,"Ps 85:8, 10, 11-12, 13-14",Heb 8:6-13,20-Jan-17,Mk 3:13-19,Friday of the Second Week in Ordinary Time
Acts 16:14b,,"Ps 47:2-3, 6-7, 8-9","Heb 9:2-3, 11-14",21-Jan-17,Mk 3:20-21,"Memorial of Saint Agnes, Virgin, Martyr"
Mt 4:23,"1 Cor 1:10-13, 17","Ps 27:1, 4, 13-14",Is 8:23-9:3,22-Jan-17,MT 4:12-23,Third Sunday in Ordinary Time
2 Tm 1:10,,"Ps 98:1, 2-3ab, 3cd-4, 5-6","Heb 9:15, 24-28",23-Jan-17,Mk 3:22-30,Day of Prayer for the Legal Protection of Unborn Children
Mt 11:25,,"Ps 40:2, 4ab, 7-8a, 10, 11",Heb 10:1-10,24-Jan-17,Mk 3:31-35,"Memorial of Saint Francis de Sales, Bishop, Doctor of the Church"
Jn 15:16,,"Ps 117:1bc, 2",Acts 22:3-16,25-Jan-17,Mk 16:15-18,"Feast of the Conversion of Saint April   , Apostle"
Ps 119:105,,"Ps 96:1-2a, 2b-3, 7-8a, 10",2 Tm 1:1-8,26-Jan-17,Mk 4:21-25,"Memorial of Saints Timothy, Titus, bishops"
Mt 11:25,,"Ps 37:3-4, 5-6, 23-24, 39-40",Heb 10:32-39,27-Jan-17,Mk 4:26-34,Friday of the Third Week in Ordinary Time
Jn 3:16,,"Luke 1:69-70, 71-72, 73-75","Heb 11:1-2, 8-19",28-Jan-17,Mk 4:35-41,"Memorial of Saint Thomas Aquinas, Priest, Doctor of the Church"
Mt 5:12a,1 Cor 1:26-31,"Ps 146:6-7, 8-9, 9-10",Zep 2:3; 3:12-13,29-Jan-17,Mt 5:1-12a,Fourth Sunday in Ordinary Time
Lk 7:16,,"Ps 31:20, 21, 22, 23, 24",Heb 11:32-40,30-Jan-17,Mk 5:1-20,Monday of the Fourth Week in Ordinary Time
Mt 8:17,,"Ps 22:26b-27, 28, 30, 31-32",Heb 12:1-4,31-Jan-17,Mk 5:21-43,"Memorial of Saint John Bosco, Priest"
Jn 10:27,,"Ps 103:1-2, 13-14, 17-18a","Heb 12:4-7, 11-15",1-Feb-17,Mk 6:1-6,Wednesday of the Fourth Week in Ordinary Time
Lk 2:32,Heb 2:14-18,"Ps 24:7, 8, 9, 10",Mal 3:1-4,2-Feb-17,Lk 2:22-40 or 2:22-32,Feast of the Presentation of the Lord
Lk 8:15,,"Ps 27:1, 3, 5, 8b-9abc",Heb13:1-8,3-Feb-17,Mk 6:14-29,Friday of the Fourth Week in Ordinary Time
Jn 10:27,,"Ps 23:1-3a, 3b-4, 5, 6","Heb 13:15-17, 20-21",4-Feb-17,Mk 6:30-34,Saturday of the Fourth Week in Ordinary Time
Jn 8:12,1 Cor 2:1-5,"Ps 112:4-5, 6-7, 8-9",Is 58:7-10,5-Feb-17,Mt 5:13-16,Fifth Sunday in Ordinary Time
Mt 4:23,,"Ps 104:1-2a, 5-6, 10, 12, 24, 35c",Gn1:1-19,6-Feb-17,Mk 6:53-56,"Memorial of Saint April Miki, Companions, Martyrs"
"Ps 119:36, 29b",,"Ps 8:4-5, 6-7, 8-9",Gn 1:20-2:4a,7-Feb-17,Mk 7:1-13,Tuesday of the Fifth Week in Ordinary Time
"Jn 17:17b, 17a",,"Ps 104:1-2a, 27-28, 29bc-30","Gn 2:4b-9, 15-17",8-Feb-17,Mk 7:14-23,Wednesday of the Fifth Week in Ordinary Time
Jas 1:21bc,,"Ps 128:1-2, 3, 4-5",Gn 2:18-25,9-Feb-17,Mk 7:24-30,Thursday of the Fifth Week in Ordinary Time
Acts 16:14b,,"Ps 32:1-2, 5, 6, 7",Gn 3:1-8,10-Feb-17,Mk 7:31-37,"Memorial of Saint Scholastica, Virgin"
Mt 4:4b,,"Ps 90:2, 3-4abc, 5-6, 12-13",Gn 3:9-24,11-Feb-17,Mk 8:1-10,Saturday of the Fifth Week in Ordinary Time
Mt 11:25,1 Cor 2:6-10,"Ps 119:1-2, 4-5, 17-18, 33-34",Sir 15:15-20,12-Feb-17,Mt 5:17-37,Sixth Sunday in Ordinary Time
Jn 14:6,,"Ps 50:1, 8, 16bc-17, 20-21","Gn 4:1-15, 25",13-Feb-17,Mk 8:11-13,Monday of the Sixth Week in Ordinary Time
Jn 14:23,,"Ps 29:1a, 2, 3ac-4, 3b, 9c-10","Gn 6:5-8; 7:1-5, 10",14-Feb-17,Mk 8:14-21,"Memorial of Saints Cyril, Monk, and Methodius, Bishop"
Eph 1:17-18,,"Ps 116:12-13, 14-15, 18-19","Gn 8:6-13, 20-22",15-Feb-17,Mk 8:22-26,Wednesday of the Sixth Week in Ordinary Time
"Jn 6:63c, 68c",,"Ps 102:16-18, 19-21, 29, 22-23",Gn 9:1-13,16-Feb-17,Mk 8:27-33,Thursday of the Sixth Week in Ordinary Time
Jn 15:15b,,"Ps 33:10-11, 12-13, 14-15",Gn 11:1-9,17-Feb-17,Mk 8:34-9:1,Friday of the Sixth Week in Ordinary Time
Mk 9:6,,"Ps 145:2-3, 4-5, 10-11",Heb 11:1-7,18-Feb-17,Mk 9:2-13,Saturday of the Sixth Week in Ordinary Time
1 Jn 2:5,1 Cor 3:16-23,"Ps 103:1-2, 3-4, 8, 10, 12-13","Lv 19:1-2, 17-18",19-Feb-17,Mt 5:38-48,Seventh Sunday in Ordinary Time
2 Tm 1:10,,"Ps 93:1ab, 1cd-2, 5",Sir 1:1-10,20-Feb-17,Mk 9:14-29,Monday of the Seventh Week in Ordinary Time
Gal 6:14,,"Ps 37:3-4, 18-19, 27-28, 39-40",Sir 2:1-11,21-Feb-17,Mk 9:30-37,Tuesday of the Seventh Week in Ordinary Time
Mt 16:18,,"Ps 23:1-3a, 4, 5, 6",1 Pt 5:1-4,22-Feb-17,Mt 16:13-19,"Feast of the Chair of Saint Peter, Apostle"
1 Thes 2:13,,"Ps 1:1-2, 3, 4, 6",Sir 5:1-8,23-Feb-17,Mk 9:41-50,"Memorial of Saint Polycarp, Bishop, Martyr"
"Jn 17:17b, 17a",,"Ps 119:12, 16, 18, 27, 34, 35",Sir 6:5-17,24-Feb-17,Mk 10:1-12,Friday of the Seventh Week in Ordinary Time
Mt 11:25,,"Ps 103:13-14, 15-16, 17-18",Sir 17:1-15,25-Feb-17,Mk 10:13-16,Saturday of the Seventh Week in Ordinary Time
Heb 4:12,1 Cor 4:1-5,"Ps 62:2-3, 6-7, 8-9",Is 49:14-15,26-Feb-17,Mt 6:24-34,Eighth Sunday in Ordinary Time
2 Cor 8:9,,"Ps 32:1-2, 5, 6, 7",Sir 17:20-24,27-Feb-17,Mk 10:17-27,Monday of the Eighth Week in Ordinary Time
Mt 11:25,,"Ps 50:5-6, 7-8, 14, 23",Sir 35:1-12,28-Feb-17,Mk 10:28-31,Tuesday of the Eighth Week in Ordinary Time
Ps 95:8,2 Cor 5:20-6:2,"Ps 51:3-4, 5-6ab, 12-13, 14, 17",Jl 2:12-18,1-Mar-17,"Mt 6:1-6, 16-18",Ash Wednesday
Mt 4:17,,"Ps 1:1-2, 3, 4, 6",Dt 30:15-20,2-Mar-17,Lk 9:22-25,Thursday after Ash Wednesday
Am 5:14,,"Ps 51:3-4, 5-6ab, 18-19",Is 58:1-9a,3-Mar-17,Mt 9:14-15,Friday after Ash Wednesday
Ez 33:11,,"Ps 86:1-2, 3-4, 5-6",Is 58:9b-14,4-Mar-17,Lk 5:27-32,Saturday after Ash Wednesday
Mt 4:4b,Rom 5:12-19,"Ps 51:3-4, 5-6, 12-13, 17",Gn 2:7-9; 3:1-7,5-Mar-17,Mt 4:1-11,First Sunday of Lent
2 Cor 6:2b,,"Ps 19:8, 9, 10, 15","Lv 19:1-2, 11-18",6-Mar-17,Mt 25:31-46,Monday of the First Week of Lent
Mt 4:4b,,"Ps 34:4-5, 6-7, 16-17, 18-19",Is 55:10-11,7-Mar-17,Mt 6:7-15,Tuesday of the First Week of Lent
Jl 2:12-13,,"Ps 51:3-4, 12-13, 18-19",Jon 3:1-10,8-Mar-17,Lk 11:29-32,Wednesday of the First Week in Lent
"Ps 51:12a, 14a",,"Ps 138:1-2ab, 2cde-3, 7c-8","Est C:12, 14-16, 23-25",9-Mar-17,Mt 7:7-12,Thursday of the First Week in Lent
Ez 18:31,,"Ps 130:1-2, 3-4, 5-7a, 7bc-8",Ez 18:21-28,10-Mar-17,Mt 5:20-26,Friday of the First Week of Lent
2 Cor 6:2b,,"Ps 119:1-2, 4-5, 7-8",Dt 26:16-19,11-Mar-17,Mt 5:43-48,Saturday of the First Week of Lent
Mt 17:5,2 Tm 1:8b-10,"Ps 33:4-5, 18-19, 20, 22.",Gn 12:1-4a,12-Mar-17,Mt 17:1-9,Second Sunday of Lent
"Jn 6:63c, 68c",,"Ps 79:8, 9, 11, 13",Dn 9:4b-10,13-Mar-17,Lk 6:36-38,Monday of the Second Week in Lent
Ez 18:31,,"Ps 50:8-9, 16bc-17, 21, 23","Is 1:10, 16-20",14-Mar-17,Mt 23:1-12,Tuesday of the Second Week of Lent
Jn 8:12,,"Ps 31:5-6, 14, 15-16",Jer 18:18-20,15-Mar-17,Mt 20:17-28,Wednesday of the Second Week of Lent
Lk 8:15,,"Ps 1:1-2, 3, 4, 6",Jer 17:5-10,16-Mar-17,Lk 16:19-31,Thursday of the Second Week of Lent
Jn 3:16,,"Ps 105:16-17, 18-19, 20-21","Gn 37:3-4, 12-13a, 17b-28a",17-Mar-17,"Mt 21:33-43, 45-46",Friday of the Second Week of Lent
Lk 15:18,,"Ps 103:1-2, 3-4, 9-10, 11-12","Mi 7:14-15, 18-20",18-Mar-17,"Lk 15:1-3, 11-32",Saturday of the Second Week of Lent
"Jn 4:42, 15","Rom 5:1-2, 5-8","Ps 95:1-2, 6-7, 8-9",Ex 17:3-7,19-Mar-17,Jn 4:5-42,Third Sunday of Lent
Ps 84:5,"Rom 4:13, 16-18, 22","Ps 89:2-3, 4-5, 27, 29","2 Sm 7:4-5a, 12-14a, 16",20-Mar-17,"Mt 1:16, 18-21, 24a","Solemnity of Saint Joseph, spouse of the Blessed Virgin April"
Jl 2:12-13,,"Ps 25:4-5ab, 6, 7bc, 8-9","Dn 3:25, 34-43",21-Mar-17,Mt 18:21-35,Tuesday of the Third Week of Lent
"Jn 6:63c, 68c",,"Ps 147:12-13, 15-16, 19-20","Dt 4:1, 5-9",22-Mar-17,Mt 5:17-19,Wednesday of the Third Week of Lent
Jl 2:12-13,,"Ps 95:1-2, 6-7, 8-9",Jer 7:23-28,23-Mar-17,Lk 11:14-23,Thursday of the Third Week of Lent
Mt 4:17,,"Ps 81:6c-8a, 8bc-9, 10-11ab, 14, 17",Hos 14:2-10,24-Mar-17,Mk 12:28-34,Friday of the Third Week of Lent
Jn 1:14b,Heb 10:4-10,"Ps 40:7-8a, 8b-9, 10, 11",Is 7:10-14 ; 8:10,25-Mar-17,Lk 1:26-38,Solemnity of the Annunciation of the Lord
Jn 8:12,Eph 5:8-14,"Ps 23: 1-3a, 3b-4, 5, 6","1 Sm 16:1b, 6-7, 10-13a",26-Mar-17,Jn 9:1-41,Fourth Sunday of Lent
Am 5:14,,"Ps 30:2, 4, 5-6, 11-12a, 13b",Is 65:17-21,27-Mar-17,Jn 4:43-54,Monday of the Fourth Week of Lent
"Ps 51:12a, 14a",,"Ps 46:2-3, 5-6, 8-9","Ez 47:1-9, 12",28-Mar-17,Jn 5:1-16,Tuesday of the Fourth Week of Lent
"Jn 11:25a, 26",,"Ps 145:8-9, 13cd-14, 17-18",Is 49:8-15,29-Mar-17,Jn 5:17-30,Wednesday of the Fourth Week of Lent
Jn 3:16,,"Ps 106:19-20, 21-22, 23",Ex 32:7-14,30-Mar-17,Jn 5:31-47,Thursday of the Fourth Week of Lent
Mt 4:4b,,"Ps 34:17-18, 19-20, 21, 23","Wis 2:1a, 12-22",31-Mar-17,"Jn 7:1-2, 10, 25-30",Friday of the Fourth Week of Lent
Lk 8:15,,"Ps 7:2-3, 9bc-10, 11-12",Jer 11:18-20,1-Apr-17,Jn 7:40-53,Saturday of the Fourth Week of Lent
"Jn 11:25a, 26",Rom 8:8-11,"Ps 130:1-2, 3-4, 5-6, 7-8",Ez 37:12-14,2-Apr-17,Jn 11:1-45,Fifth Sunday of Lent
Ez 33:11,,"Ps 23:1-3a, 3b-4, 5, 6","Dn 13:1-9, 15-17, 19-30, 33-62",3-Apr-17,Jn 8:1-11,Monday of the Fifth Week of Lent
,,"Ps 102:2-3, 16-18, 19-21",Nm 21:4-9,4-Apr-17,Jn 8:21-30,Tuesday of the Fifth Week of Lent
Lk 8:15,,"Dn 3:52, 53, 54, 55, 56","Dn 3:14-20, 91-92, 95",5-Apr-17,Jn 8:31-42,Wednesday of the Fifth Week of Lent
Ps 95:8,,"Ps 105:4-5, 6-7, 8-9",Gn 17:3-9,6-Apr-17,Jn 8:51-59,Thursday of the Fifth Week of Lent
"Jn 6:63c, 68c",,"Ps 18:2-3a, 3bc-4, 5-6, 7",Jer 20:10-13,7-Apr-17,Jn 10:31-42,Friday of the Fifth Week of Lent
Ez 18:31,,"Jer 31:10, 11-12abcd, 13",Ez 37:21-28,8-Apr-17,Jn 11:45-56,Saturday of the Fifth Week of Lent
Phil 2:8-9,Phil 2:6-11,"Ps 22:8-9, 17-18, 19-20, 23-24",Is 50:4-7,9-Apr-17,Mt 26:14-27:66,Palm Sunday of the Lord's Passion
,,"Ps 27:1, 2, 3, 13-14",Is 42:1-7,10-Apr-17,Jn 12:1-11,Monday of Holy Week
,,"Ps 71:1-2, 3-4a, 5ab-6ab, 15, 17",Is 49:1-6,11-Apr-17,"Jn 13:21-33, 36-38",Tuesday of Holy Week
,,"Ps 69:8-10, 21-22, 31, 33-34",Is 50:4-9a,12-Apr-17,Mt 26:14-25,Wednesday of Holy Week
Jn 13:34,1 Cor 11:23-26,"Ps 116:12-13, 15-16bc, 17-18","Ex 12:1-8, 11-14",13-Apr-17,Jn 13:1-15,Holy Thursday
Phil 2:8-9,Heb 4:14-16 ;  5:7-9,"Ps 31:2, 6, 12-13, 15-16, 17, 25",Is 52:13-53:12,14-Apr-17,Jn 18:1-19:42,Good Friday of the Lord's Passion
"Ps 118:1-2, 16-17, 22-23",Gn 22:1-18,"Ps 104:1-2, 5-6, 10, 12, 13-14, 24, 35",Gn 1:1-2:2,15-Apr-17,Mt 28:1-10,Holy Saturday
1 Cor 5:7b-8a,Col 3:1-4,"Ps 118:1-2, 16-17, 22-23","Acts 10:34a, 37-43",16-Apr-17,Jn 20:1-9,The Resurrection of the Lord
Ps 118:24,,"Ps 16:1-2a, 5, 7-8, 9-10, 11","Acts 2:14, 22-33",17-Apr-17,Mt 28:8-15,Monday in the Octave of Easter
Ps 118:24,,"Ps 33:4-5, 18-19, 20, 22",Acts 2:36-41,18-Apr-17,Jn 20:11-18,Tuesday in the Octave of Easter
Ps 118:24,,"Ps 105:1-2, 3-4, 6-7, 8-9",Acts 3:1-10,19-Apr-17,Lk 24:13-35,Wednesday in the Octave of Easter
Ps 118:24,,"Ps 8:2ab, 5, 6-7, 8-9",Acts 3:11-26,20-Apr-17,Lk 24:35-48,Thursday in the Octave of Easter
Ps 118:24,,"Ps 118:1-2, 4, 22-24, 25-27a",Acts 4:1-12,21-Apr-17,Jn 21:1-14,Friday in the Octave of Easter
Ps 118:24,,"Ps 118:1, 14-15ab, 16-18, 19-21",Acts 4:13-21,22-Apr-17,Mk 16:9-15,Saturday in the Octave of Easter
Jn 20:29,1 Pt 1:3-9,"Ps 118:2-4, 13-15, 22-24",Acts 2:42-47,23-Apr-17,Jn 20:19-31,Second Sunday of Easter (or Sunday of Divine Mercy)
Col 3:1,,"Ps 2:1-3, 4-7a, 7b-9",Acts 4:23-31,24-Apr-17,Jn 3:1-8,Monday of the Second Week of Easter
1 Cor 1:23a-24b,,"Ps 89:2-3, 6-7, 16-17",1 Pt 5:5b-14,25-Apr-17,Mk 16:15-20,"Feast of Saint April   , evangelist"
Jn 3:16,,"Ps 34:2-3, 4-5, 6-7, 8-9",Acts 5:17-26,26-Apr-17,Jn 3:16-21,Wednesday of the Second Week of Easter
Jn 20:29,,"Ps 34:2, 9, 17-18, 19-20",Acts 5:27-33,27-Apr-17,Jn 3:31-36,Thursday of the Second Week of Easter
Mt 4:4b,,"Ps 27:1, 4, 13-14",Acts 5:34-42,28-Apr-17,Jn 6:1-15,Friday of the Second Week of Easter
,,"Ps 33:1-2, 4-5, 18-19",Acts 6:1-7,29-Apr-17,Jn 6:16-21,"Memorial of Saint Catherine of Siena, Virgin, Doctor of the Church"
Lk 24:32,1 Pt 1:17-21,"Ps 16:1-2, 5, 7-8, 9-10, 11","Acts 2:14, 22-33",30-Apr-17,Lk 24:13-35,Third Sunday of Easter
Mt 4:4b,,"Ps 119:23-24, 26-27, 29-30",Acts 6:8-15,1-May-17,Jn 6:22-29,Monday of the Third Week of Easter
Jn 6:35ab,,"Ps 31:3cd-4, 6, 7b, 8a, 17, 21ab",Acts 7:51-8:1a,2-May-17,Jn 6:30-35,"Memorial of Saint Athanasius, Bishop, Doctor of the Church"
"Jn 14:6b, 9c",,"Ps 19:2-3, 4-5",1 Cor 15:1-8,3-May-17,Jn 14:6-14,"Feast of Saints Philip, James, Apostles"
Jn 6:51,,"Ps 66:8-9, 16-17, 20",Acts 8:26-40,4-May-17,Jn 6:44-51,Thursday of the Third Week of Easter
Jn 6:56,,"Ps 117:1bc, 2",Acts 9:1-20,5-May-17,Jn 6:52-59,Friday of the Third Week of Easter
"Jn 6:63c, 68c",,"Ps 116:12-13, 14-15, 16-17",Acts 9:31-42,6-May-17,Jn 6:60-69,Saturday of the Third Week of Easter
Jn 10:14,1 Pt 2:20b-25,"Ps 23: 1-3a, 3b4, 5, 6","Acts 2:14a, 36-41",7-May-17,Jn 10:1-10,Fourth Sunday of Easter
Jn 10:14,,"Ps 42:2-3; 43:3, 4",Acts 11:1-18,8-May-17,Jn 10:11-18,Monday of the Fourth Week of Easter
Jn 10:27,,"Ps 87:1b-3, 4-5, 6-7",Acts 11:19-26,9-May-17,Jn 10:22-30,Tuesday of the Fourth Week of Easter
Jn 8:12,,"Ps 67:2-3, 5, 6, 8",Acts 12:24-13:5a,10-May-17,Jn 12:44-50,Wednesday of the Fourth Week of Easter
Rv 1:5ab,,"Ps 89:2-3, 21-22, 25, 27",Acts 13:13-25,11-May-17,Jn 13:16-20,Thursday of the Fourth Week of Easter
Jn 14:6,,"Ps 2:6-7, 8-9, 10-11ab",Acts 13:26-33,12-May-17,Jn 14:1-6,Friday of the Fourth Week of Easter
Jn 8:31b-32,,"Ps 98:1, 2-3ab, 3cd-4",Acts 13:44-52,13-May-17,Jn 14:7-14,Saturday of the Fourth Week of Easter
Jn 14:6,1 Pt 2:4-9,"Ps 33:1-2, 4-5, 18-19",Acts 6:1-7,14-May-17,Jn 14:1-12,Fifth Sunday of Easter
Jn 14:26,,"Ps 115:1-2, 3-4, 15-16",Acts 14:5-18,15-May-17,Jn 14:21-26,Monday of the Fifth Week of Easter
"Lk 24:46, 26",,"Ps 145:10-11, 12-13ab, 21",Acts 14:19-28,16-May-17,Jn 14:27-31a,Tuesday of Fifth Week of Easter
"Jn 15:4a, 5b",,"Ps 122:1-2, 3-4ab, 4cd-5",Acts 15:1-6,17-May-17,Jn 15:1-8,Wednesday of the Fifth Week of Easter
Jn 10:27,,"Ps 96:1-2a, 2b-3, 10",Acts 15:7-21,18-May-17,Jn 15:9-11,Thursday of the Fifth Week of Easter
Jn 15:15b,,"Ps 57:8-9, 10, 12",Acts 15:22-31,19-May-17,Jn 15:12-17,Friday of the Fifth Week of Easter
Col 3:1,,"Ps 100:1b-2, 3, 5",Acts 16:1-10,20-May-17,Jn 15:18-21,Saturday of the Fifth Week of Easter
Jn 14:23,1 Pt 3:15-18,"Ps 66:1-3, 4-5, 6-7, 16, 20","Acts 8:5-8, 14-17",21-May-17,Jn 14:15-21,Sixth Sunday of Easter
"Jn 15:26b, 27a",,"Ps 149:1b-2, 3-4, 5-6a, 9b",Acts 16:11-15,22-May-17,Jn 15:26-16:4a,Monday of the Sixth Week of Easter
"Jn 16:7, 13",,"Ps 138:1-2ab, 2cde-3, 7c-8",Acts 16:22-34,23-May-17,Jn 16:5-11,Tuesday of the Sixth Week of Easter
Jn 14:16,,"Ps 148:1-2, 11-12, 13, 14","Acts 17:15, 22-18:1",24-May-17,Jn 16:12-15,Wednesday of the Sixth Week of Easter
Jn 14:18,,"Ps 98:1, 2-3ab, 3cd-4",Acts 18:1-8,25-May-17,Jn 16:16-20,Thursday of the Sixth Week of Easter
"Lk 24:46, 26",,"Ps 47:2-3, 4-5, 6-7",Acts 18:9-18,26-May-17,Jn 16:20-23,"Memorial of Saint Philip April   , Priest"
Jn 16:28,,"Ps 47:2-3, 8-9, 10",Acts 18:23-28,27-May-17,Jn 16:23b-28,Saturday of the Sixth Week of Easter
Col 3:1,,"Ps 68:2-3ab, 4-5acd, 6-7ab",Acts 19:1-8,29-May-17,Jn 16:29-33,Monday of the Seventh Week of Easter
Jn 14:16,,"Ps 68:10-11, 20-21",Acts 20:17-27,30-May-17,Jn 17:1-11a,Tuesday of the Seventh Week of Easter
Lk 1:45,,"Isaiah 12:2-3, 4bcd, 5-6",Zep 3:14-18a,31-May-17,Lk 1:39-56,Feast of the Visitation of the Blessed Virgin April
Jn 17:21,,"Ps 16:1-2a, 5, 7-8, 9-10, 11",Acts 22:30; 23:6-11,1-Jun-17,Jn 17:20-26,"Memorial of Saint Justin, Martyr"
Jn 14:26,,"Ps 103:1-2, 11-12, 19-20ab",Acts 25:13b-21,2-Jun-17,Jn 21:15-19,Friday of the Seventh Week of Easter
