Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,Numbers 6:22-27,"Psalms 67:2-3, 5-6, 8",Galatians 4:4-7,1/1/2017,Luke 2:16-21,"Octave Day of Christmas:  Solemnity of the Blessed Virgin Mary, the Mother of God"
,1 John 2:22-28,Psalms 98:1-4,,1/2/2017,John 1:19-28,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors (Memorial)"
,Philippians 2:5-11,Psalms 113:1-8,,1/3/2017,Matthew 1:18-23,The Most Holy Name of Jesus (Memorial)
,1 John 3:7-10,"Psalms 98:1, 7-9",,1/4/2017,John 1:35-42,St. Elizabeth Ann Seton (Memorial)
,1 John 3:11-21,Psalms 100:1-5,,1/5/2017,John 1:43-51,"St. John Neumann, Bishop (Memorial)"
,1 John 5:5-13,"Psalms 147:12-15, 19-20",,1/6/2017,Mark 1:7-11,"St. Andre Bessette, Religious (Optional Memorial)"
,1 John 5:14-21,"Psalms 149:1-6, 9",,1/7/2017,John 2:1-11,Saturday before Epiphany
,Isaiah 60:1-6,"Psalms 72:1-2, 7-8, 10-13","Ephesians 3:2-3, 5-6",1/8/2017,Matthew 2:1-12,The Epiphany of the Lord (Solemnity)
,"Isaiah 42:1-4, 6-7","Psalms 29:1-4, 3, 9-10",Acts 10:34-38,1/9/2017,Matthew 3:13-17,The Baptism of the Lord (Feast)
,Hebrews 2:5-12,"Psalms 8:2, 5-9",,1/10/2017,Mark 1:21-28,Weekday
,Hebrews 2:14-18,"Psalms 105:1-4, 6-9",,1/11/2017,Mark 1:29-39,Weekday
,Hebrews 3:7-14,Psalms 95:6-11,,1/12/2017,Mark 1:40-45,"St. Bernard of Corleone, Religious (Memorial)"
,"Hebrews 4:1-5, 11","Psalms 78:3, 4, 6-8",,1/13/2017,Mark 2:1-12,Weekday
,Hebrews 4:12-16,"Psalms 19:8-10, 15",,1/14/2017,Mark 2:13-17,Saturday Memorial of the Blessed Virgin Mary
,"Isaiah 49:3, 5-6","Psalms 40:2, 4, 7-10",1 Corinthians 1:1-3,1/15/2017,John 1:29-34,Second Sunday in Ordinary Time
,Hebrews 5:1-10,Psalms 110:1-4,,1/16/2017,Mark 2:18-22,"St. Berard, OFM, Priest and Companions, Protomartyrs (Memorial)"
,Hebrews 6:10-20,"Psalms 111:1-2, 4-5, 9-10",,1/17/2017,Mark 2:23-28,"St. Anthony, Abbot (Memorial)"
,"Hebrews 7:1-3, 15-17",Psalms 110:1-4,,1/18/2017,Mark 3:1-6,Weekday
,Hebrews 7:25--8:6,"Psalms 40:7-10, 17",,1/19/2017,Mark 3:7-12,Weekday
,Hebrews 8:6-13,"Psalms 85:8, 10-14",,1/20/2017,Mark 3:13-19,Weekday
,"Hebrews 9:2-3, 11-14","Psalms 47:2-3, 6-9",,1/21/2017,Mark 3:20-21,"St. Agnes, Virgin, Martyr (Memorial)"
,Isaiah 8:23--9:3,"Psalms 27:1, 4, 13-14","1 Corinthians 1:10-13, 17",1/22/2017,Matthew 4:12-23,Third Sunday in Ordinary Time
,"Hebrews 9:15, 24-28",Psalms 98:1-6,,1/23/2017,Mark 3:22-30,Day of Prayer for the Legal Protection of Unborn Children
,Hebrews 10:1-10,"Psalms 40:2, 4, 7-8, 10-11",,1/24/2017,Mark 3:31-35,"St. Francis de Sales, Bishop, Doctor of the Church (Memorial)"
,Acts 22:3-16,Acts 9:1-22,,1/25/2017,Psalms 117:1-2,"The Conversion of St. Paul, Apostle (Feast)"
,2 Timothy 1:1-8,Titus 1:1-5,,1/26/2017,"Psalms 96:1-3, 7-8, 10","Saints Timothy and Titus, Bishops (Memorial)"
,Hebrews 10:32-39,"Psalms 37:3-6, 23-24, 39-40",,1/27/2017,Mark 4:26-34,Weekday
,"Hebrews 11:1-2, 8-19",Luke 1:69-75,,1/28/2017,Mark 4:35-41,"St. Thomas Aquinas, Priest, Doctor of the Church (Memorial)"
,Zephaniah 2:3; 3:12-13,Psalms 146:6-10,1 Corinthians 1:26-31,1/29/2017,Matthew 5:1-12,Fourth Sunday in Ordinary Time
,Hebrews 11:32-40,Psalms 31:20-24,,1/30/2017,Mark 5:1-20,"St. Hyacinth Marescotti, Virgin (Memorial)"
,Hebrews 12:1-4,"Psalms 22:26-28, 30-32",,1/31/2017,Mark 5:21-43,"St. John Bosco, Priest (Memorial)"
,"Hebrews 12:4-7, 11-15","Psalms 103:1-2, 13-14, 17-18",,2/1/2017,Mark 6:1-6,Weekday
,Malachi 3:1-4,Psalms 24:7-10,Hebrews 2:14-18,2/2/2017,Luke 2:22-40,The Presentation of the Lord (Feast)
,Hebrews 13:1-8,"Psalms 27:1, 3, 5, 8-9",,2/3/2017,Mark 6:14-29,"St. Blaise, Bishop and Martyr (Optional Memorial)"
,"Hebrews 13:15-17, 20-21",Psalms 23:1-6,,2/4/2017,Mark 6:30-34,"St. Joseph of Leonessa, Capuchin, Priest (Memorial)"
,Isaiah 58:7-10,Psalms 112:4-9,1 Corinthians 2:1-5,2/5/2017,Matthew 5:13-16,Fifth Sunday in Ordinary Time
,Genesis 1:1-19,"Psalms 104:1-2, 5-6, 10, 12, 24, 35",,2/6/2017,Mark 6:53-56,"Sts. Peter Baptist, OFM, Paul Miki and Companions, Martyrs (Memorial)"
,Genesis 1:20--2:4,Psalms 8:4-9,,2/7/2017,Mark 7:1-13,"St. Colette of Corbie, Virgin (Memorial)"
,"Genesis 2:4-9, 15-17","Psalms 104:1-2, 27-30",,2/8/2017,Mark 7:14-23,Weekday
,Genesis 2:18-25,Psalms 128:1-5,,2/9/2017,Mark 7:24-30,Weekday
,Genesis 3:1-8,"Psalms 32:1-2, 5-7",,2/10/2017,Mark 7:31-37,"St. Scholastica, Virgin (Memorial)"
,Genesis 3:9-24,"Psalms 90:2-6, 12-13",,2/11/2017,Mark 8:1-10,Our Lady of Lourdes (Optional Memorial)
,Sirach 15:15-20,"Psalms 119:1-2, 4-5, 17-18, 33-34",1 Corinthians 2:6-10,2/12/2017,Matthew 5:17-37,Sixth Sunday in Ordinary Time
,"Genesis 4:1-15, 25","Psalms 50:1, 8, 16-17, 20-21",,2/13/2017,Mark 8:11-13,Weekday
