Chapter,Word,Verse,Book,Translation,Original
1,1,1,Sir,each,πᾶσα
1,2,1,Sir,wisdom,σοφία
1,3,1,Sir,fr,παρὰ
1,4,1,Sir,lord,κυρίου
1,5,1,Sir,and also,καὶ
1,6,1,Sir,after,μετ’
1,7,1,Sir,he,αὐτοῦ
1,8,1,Sir,to be,ἐστιν
1,9,1,Sir,into,εἰς
1,10,1,Sir,the,τὸν
1,11,1,Sir,eon,αἰῶνα
1,1,2,Sir,sand,ἄμμον
1,2,2,Sir,sea,θαλασσῶν
1,3,2,Sir,and also,καὶ
1,4,2,Sir, , σταγόνας 
1,5,2,Sir,rain,ὑετοῦ
1,6,2,Sir,and also,καὶ
1,7,2,Sir,day,ἡμέρας
1,8,2,Sir,eon,αἰῶνος
1,9,2,Sir,who,τίς
1,10,2,Sir, , ἐξαριθμήσει
1,11,2,Sir, ,
1,1,3,Sir,height height,ὕψος
1,2,3,Sir,sky,οὐρανοῦ
1,3,3,Sir,and also,καὶ
1,4,3,Sir,width,πλάτος
1,5,3,Sir,earth,γῆς
1,6,3,Sir,and also,καὶ
1,7,3,Sir,abyss,ἄβυσσον
1,8,3,Sir,and also,καὶ
1,9,3,Sir,wisdom,σοφίαν
1,10,3,Sir,who,τίς
1,11,3,Sir, , ἐξιχνιάσει
1,12,3,Sir, ,
1,1,4,Sir,earlier,προτέρα
1,2,4,Sir,each,πάντων
1,3,4,Sir,to create,ἔκτισται
1,4,4,Sir,wisdom,σοφία
1,5,4,Sir,and also,καὶ
1,6,4,Sir,insight,σύνεσις
1,7,4,Sir,contemplation,φρονήσεως
1,8,4,Sir,out of,ἐξ
1,9,4,Sir,eon,αἰῶνος
1,1,5,Sir,eon,
1,1,6,Sir,root,ῥίζα
1,2,6,Sir,wisdom,σοφίας
1,3,6,Sir,who,τίνι
1,4,6,Sir,to uncover,ἀπεκαλύφθη
1,5,6,Sir,and also,καὶ
1,6,6,Sir,the,τὰ
1,7,6,Sir, , πανουργεύματα 
1,8,6,Sir,he,αὐτῆς
1,9,6,Sir,who,τίς
1,10,6,Sir,to know,ἔγνω
1,1,7,Sir,to know,
1,1,8,Sir,one,εἷς
1,2,8,Sir,to be,ἐστιν
1,3,8,Sir,wise,σοφός
1,4,8,Sir,frightening,φοβερὸς
1,5,8,Sir,exceedingly,σφόδρα
1,6,8,Sir,to sit,καθήμενος
1,7,8,Sir,upon,ἐπὶ
1,8,8,Sir,the,τοῦ
1,9,8,Sir,throne,θρόνου
1,10,8,Sir,he,αὐτοῦ
1,1,9,Sir,lord,κύριος
1,2,9,Sir,he,αὐτὸς
1,3,9,Sir,to create,ἔκτισεν
1,4,9,Sir,he,αὐτὴν
1,5,9,Sir,and also,καὶ
1,6,9,Sir,to see,εἶδεν
1,7,9,Sir,and also,καὶ
1,8,9,Sir, , ἐξηρίθμησεν 
1,9,9,Sir,he,αὐτὴν
1,10,9,Sir,and also,καὶ
1,11,9,Sir,to pour,ἐξέχεεν
1,12,9,Sir,he,αὐτὴν
1,13,9,Sir,upon,ἐπὶ
1,14,9,Sir,each,πάντα
1,15,9,Sir,the,τὰ
1,16,9,Sir,work,ἔργα
1,17,9,Sir,he,αὐτοῦ
1,1,10,Sir,after,μετὰ
1,2,10,Sir,each,πάσης
1,3,10,Sir,flesh,σαρκὸς
1,4,10,Sir,down,κατὰ
1,5,10,Sir,the,τὴν
1,6,10,Sir,giving,δόσιν
1,7,10,Sir,he,αὐτοῦ
1,8,10,Sir,and also,καὶ
1,9,10,Sir,to supply,ἐχορήγησεν
1,10,10,Sir,he,αὐτὴν
1,11,10,Sir,the,τοῖς
1,12,10,Sir,to agape,ἀγαπῶσιν
1,13,10,Sir,he,αὐτόν
1,1,11,Sir,fear,φόβος
1,2,11,Sir,lord,κυρίου
1,3,11,Sir,glory,δόξα
1,4,11,Sir,and also,καὶ
1,5,11,Sir,boast,καύχημα
1,6,11,Sir,and also,καὶ
1,7,11,Sir,gladness,εὐφροσύνη
1,8,11,Sir,and also,καὶ
1,9,11,Sir,wreath this,στέφανος
1,10,11,Sir,exhultation,ἀγαλλιάματος
1,1,12,Sir,fear,φόβος
1,2,12,Sir,lord,κυρίου
1,3,12,Sir, , τέρψει 
1,4,12,Sir,heart,καρδίαν
1,5,12,Sir,and also,καὶ
1,6,12,Sir,to give,δώσει
1,7,12,Sir,gladness,εὐφροσύνην
1,8,12,Sir,and also,καὶ
1,9,12,Sir,joy,χαρὰν
1,10,12,Sir,and also,καὶ
1,11,12,Sir, , μακροημέρευσιν
1,12,12,Sir, ,
1,1,13,Sir,the,τῷ
1,2,13,Sir,to fear,φοβουμένῳ
1,3,13,Sir,the,τὸν
1,4,13,Sir,lord,κύριον
1,5,13,Sir,well,εὖ
1,6,13,Sir,to be,ἔσται
1,7,13,Sir,upon,ἐπ’
1,8,13,Sir,last,ἐσχάτων
1,9,13,Sir,and also,καὶ
1,10,13,Sir,in,ἐν
1,11,13,Sir,day,ἡμέρᾳ
1,12,13,Sir,end,τελευτῆς
1,13,13,Sir,he,αὐτοῦ
1,14,13,Sir,to speak,εὐλογηθήσεται
1,1,14,Sir,beginning,ἀρχὴ
1,2,14,Sir,wisdom,σοφίας
1,3,14,Sir,to fear,φοβεῖσθαι
1,4,14,Sir,the,τὸν
1,5,14,Sir,lord,κύριον
1,6,14,Sir,and also,καὶ
1,7,14,Sir,after,μετὰ
1,8,14,Sir,faithful trusthworthy,πιστῶν
1,9,14,Sir,in,ἐν
1,10,14,Sir,womb,μήτρᾳ
1,11,14,Sir, , συνεκτίσθη 
1,12,14,Sir,he,αὐτοῖς
1,1,15,Sir,after,μετὰ
1,2,15,Sir,human,ἀνθρώπων
1,3,15,Sir,foundation establishing,θεμέλιον
1,4,15,Sir,eon,αἰῶνος
1,5,15,Sir, , ἐνόσσευσεν 
1,6,15,Sir,and also,καὶ
1,7,15,Sir,after,μετὰ
1,8,15,Sir,the,τοῦ
1,9,15,Sir,seed sperm,σπέρματος
1,10,15,Sir,he,αὐτῶν
1,11,15,Sir, , ἐμπιστευθήσεται
1,12,15,Sir, ,
1,1,16,Sir,satiety,πλησμονὴ
1,2,16,Sir,wisdom,σοφίας
1,3,16,Sir,to fear,φοβεῖσθαι
1,4,16,Sir,the,τὸν
1,5,16,Sir,lord,κύριον
1,6,16,Sir,and also,καὶ
1,7,16,Sir,to get,μεθύσκει
1,8,16,Sir,he,αὐτοὺς
1,9,16,Sir,from,ἀπὸ
1,10,16,Sir,the,τῶν
1,11,16,Sir,fruit,καρπῶν
1,12,16,Sir,he,αὐτῆς
1,1,17,Sir,each,πάντα
1,2,17,Sir,the,τὸν
1,3,17,Sir,house,οἶκον
1,4,17,Sir,he,αὐτῶν
1,5,17,Sir,to satisfy,ἐμπλήσει
1,6,17,Sir, , ἐπιθυμημάτων 
1,7,17,Sir,and also,καὶ
1,8,17,Sir,the,τὰ
1,9,17,Sir, , ἀποδοχεῖα 
1,10,17,Sir,from,ἀπὸ
1,11,17,Sir,the,τῶν
1,12,17,Sir,fruit fruit,γενημάτων
1,13,17,Sir,he,αὐτῆς
1,1,18,Sir,wreath this,στέφανος
1,2,18,Sir,wisdom,σοφίας
1,3,18,Sir,fear,φόβος
1,4,18,Sir,lord,κυρίου
1,5,18,Sir,to revive,ἀναθάλλων
1,6,18,Sir,peace,εἰρήνην
1,7,18,Sir,and also,καὶ
1,8,18,Sir, , ὑγίειαν 
1,9,18,Sir,healing,ἰάσεως
1,1,19,Sir,and also,καὶ
1,2,19,Sir,to see,εἶδεν
1,3,19,Sir,and also,καὶ
1,4,19,Sir, , ἐξηρίθμησεν 
1,5,19,Sir,he,αὐτήν
1,6,19,Sir, , ἐπιστήμην 
1,7,19,Sir,and also,καὶ
1,8,19,Sir,knowledge seeking,γνῶσιν
1,9,19,Sir,insight,συνέσεως
1,10,19,Sir, , ἐξώμβρησεν 
1,11,19,Sir,and also,καὶ
1,12,19,Sir,glory,δόξαν
