Chapter,Word,Verse,Book,Translation,Original
1,1,1,Bar,and also,καὶ
1,2,1,Bar,this,οὗτοι
1,3,1,Bar,the,οἱ
1,4,1,Bar,word,λόγοι
1,5,1,Bar,the,τοῦ
1,6,1,Bar,small,βιβλίου
1,7,1,Bar,who,οὓς
1,8,1,Bar,to write,ἔγραψεν
1,9,1,Bar, , Βαρουχ 
1,10,1,Bar,son,υἱὸς
1,11,1,Bar, , Νηριου 
1,12,1,Bar,son,υἱοῦ
1,13,1,Bar, , Μαασαιου 
1,14,1,Bar,son,υἱοῦ
1,15,1,Bar, , Σεδεκιου 
1,16,1,Bar,son,υἱοῦ
1,17,1,Bar, , Ασαδιου 
1,18,1,Bar,son,υἱοῦ
1,19,1,Bar, , Χελκιου 
1,20,1,Bar,in,ἐν
1,21,1,Bar,Babylon,Βαβυλῶνι
1,1,2,Bar,in,ἐν
1,2,2,Bar,the,τῷ
1,3,2,Bar,year,ἔτει
1,4,2,Bar,the,τῷ
1,5,2,Bar,fifth,πέμπτῳ
1,6,2,Bar,in,ἐν
1,7,2,Bar,seventh,ἑβδόμῃ
1,8,2,Bar,the,τοῦ
1,9,2,Bar,month,μηνὸς
1,10,2,Bar,in,ἐν
1,11,2,Bar,the,τῷ
1,12,2,Bar,period,καιρῷ
1,13,2,Bar,who,ᾧ
1,14,2,Bar,to take,ἔλαβον
1,15,2,Bar,the,οἱ
1,16,2,Bar,Chaldean,Χαλδαῖοι
1,17,2,Bar,the,τὴν
1,18,2,Bar,Jerusalem,Ιερουσαλημ
1,19,2,Bar,and also,καὶ
1,20,2,Bar,to kindle,ἐνέπρησαν
1,21,2,Bar,he,αὐτὴν
1,22,2,Bar,in,ἐν
1,23,2,Bar,fire,πυρί
1,1,3,Bar,and also,καὶ
1,2,3,Bar,to read,ἀνέγνω
1,3,3,Bar, , Βαρουχ 
1,4,3,Bar,the,τοὺς
1,5,3,Bar,word,λόγους
1,6,3,Bar,the,τοῦ
1,7,3,Bar,small,βιβλίου
1,8,3,Bar,this,τούτου
1,9,3,Bar,in,ἐν
1,10,3,Bar,ear,ὠσὶν
1,11,3,Bar,Jechoniah,Ιεχονιου
1,12,3,Bar,son,υἱοῦ
1,13,3,Bar, , Ιωακιμ 
1,14,3,Bar,king,βασιλέως
1,15,3,Bar,Judas,Ιουδα
1,16,3,Bar,and also,καὶ
1,17,3,Bar,in,ἐν
1,18,3,Bar,ear,ὠσὶ
1,19,3,Bar,each,παντὸς
1,20,3,Bar,the,τοῦ
1,21,3,Bar,people,λαοῦ
1,22,3,Bar,the,τῶν
1,23,3,Bar,to come,ἐρχομένων
1,24,3,Bar,toward,πρὸς
1,25,3,Bar,the,τὴν
1,26,3,Bar,large,βίβλον
1,1,4,Bar,and also,καὶ
1,2,4,Bar,in,ἐν
1,3,4,Bar,ear,ὠσὶν
1,4,4,Bar,the,τῶν
1,5,4,Bar,capable,δυνατῶν
1,6,4,Bar,and also,καὶ
1,7,4,Bar,son,υἱῶν
1,8,4,Bar,the,τῶν
1,9,4,Bar,king,βασιλέων
1,10,4,Bar,and also,καὶ
1,11,4,Bar,in,ἐν
1,12,4,Bar,ear,ὠσὶ
1,13,4,Bar,the,τῶν
1,14,4,Bar,elder,πρεσβυτέρων
1,15,4,Bar,and also,καὶ
1,16,4,Bar,in,ἐν
1,17,4,Bar,ear,ὠσὶ
1,18,4,Bar,each,παντὸς
1,19,4,Bar,the,τοῦ
1,20,4,Bar,people,λαοῦ
1,21,4,Bar,from,ἀπὸ
1,22,4,Bar,small,μικροῦ
1,23,4,Bar,until,ἕως
1,24,4,Bar,great,μεγάλου
1,25,4,Bar,each,πάντων
1,26,4,Bar,the,τῶν
1,27,4,Bar,to reside,κατοικούντων
1,28,4,Bar,in,ἐν
1,29,4,Bar,Babylon,Βαβυλῶνι
1,30,4,Bar,upon,ἐπὶ
1,31,4,Bar,river,ποταμοῦ
1,32,4,Bar, , Σουδ
1,33,4,Bar, ,
1,1,5,Bar,and also,καὶ
1,2,5,Bar,to weep,ἔκλαιον
1,3,5,Bar,and also,καὶ
1,4,5,Bar,to fast,ἐνήστευον
1,5,5,Bar,and also,καὶ
1,6,5,Bar,to pray,ηὔχοντο
1,7,5,Bar,in front,ἐναντίον
1,8,5,Bar,lord,κυρίου
1,1,6,Bar,and also,καὶ
1,2,6,Bar,to gather,συνήγαγον
1,3,6,Bar,piece of,ἀργύριον
1,4,6,Bar,according to,καθὰ
1,5,6,Bar,each,ἑκάστου
1,6,6,Bar,to able,ἠδύνατο
1,7,6,Bar,the,ἡ
1,8,6,Bar,hand,χείρ
1,1,7,Bar,and also,καὶ
1,2,7,Bar,to send,ἀπέστειλαν
1,3,7,Bar,into,εἰς
1,4,7,Bar,Jerusalem,Ιερουσαλημ
1,5,7,Bar,toward,πρὸς
1,6,7,Bar, , Ιωακιμ 
1,7,7,Bar,son,υἱὸν
1,8,7,Bar, , Χελκιου 
1,9,7,Bar,son,υἱοῦ
1,10,7,Bar,Salom,Σαλωμ
1,11,7,Bar,the,τὸν
1,12,7,Bar,priest,ἱερέα
1,13,7,Bar,and also,καὶ
